pin,slack
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.2.openbank_r1_i/actable_shift_57_m2s2:Y,14699
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/wr_flow_ctrl_p.w_valid_i_1:A,16425
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/wr_flow_ctrl_p.w_valid_i_1:B,16527
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/wr_flow_ctrl_p.w_valid_i_1:C,16389
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/wr_flow_ctrl_p.w_valid_i_1:Y,16389
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[48]:A,15571
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[48]:B,12168
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[48]:C,10905
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[48]:D,10715
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/WDATA_2_iv[48]:Y,10715
top_sb_0/MSS_SMC_0/sdr_count[3]:ALn,16494
top_sb_0/MSS_SMC_0/sdr_count[3]:CLK,7855
top_sb_0/MSS_SMC_0/sdr_count[3]:D,13065
top_sb_0/MSS_SMC_0/sdr_count[3]:Q,7855
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARLEN_M_INPFF1[3]:ALn,16494
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARLEN_M_INPFF1[3]:CLK,17545
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARLEN_M_INPFF1[3]:D,17327
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARLEN_M_INPFF1[3]:EN,17382
top_sb_0/COREAXI_0/genblk3.master_stage0/genblk4.ARLEN_M_INPFF1[3]:Q,17545
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/hwdata_r_xhdl4[3]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/hwdata_r_xhdl4[3]:CLK,18709
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/hwdata_r_xhdl4[3]:D,15707
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/hwdata_r_xhdl4[3]:Q,18709
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/curr_state[0]:ALn,16494
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/curr_state[0]:CLK,17436
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/inst_matrix_m0/inst_rd_channel/inst_rdmatrix_16Sto1M/curr_state[0]:D,15131
